DATE,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1
2018-04-17,106.125,106.140625,106.1640625,106.109375
2018-04-18,106.0625,106.1171875,106.125,106.046875
2018-04-19,106.0625,106.0625,106.0859375,106.046875
2018-04-20,106.015625,106.0625,106.0859375,106.0078125
2018-04-23,105.9921875,106.015625,106.03125,105.984375
2018-04-24,106.015625,105.984375,106.0390625,105.9609375
2018-04-25,106.015625,106.015625,106.03125,105.9765625
2018-04-26,106.0234375,106.015625,106.0546875,106.0
2018-04-27,106.03125,106.015625,106.046875,106.0
2018-04-30,106.0078125,106.0234375,106.03125,106.0
2018-05-01,105.9921875,106.015625,106.0234375,105.9765625
2018-05-02,106.0234375,106.0,106.0234375,105.9609375
2018-05-03,106.046875,106.0234375,106.078125,106.0078125
2018-05-04,106.0078125,106.046875,106.09375,106.0
2018-05-07,106.0,106.0,106.0234375,105.984375
2018-05-08,105.984375,106.0,106.0234375,105.9765625
2018-05-09,105.9453125,105.984375,105.9921875,105.9375
2018-05-10,105.9453125,105.9375,106.015625,105.9296875
2018-05-11,105.9453125,105.9453125,105.9609375,105.9296875
2018-05-14,105.921875,105.9375,105.9609375,105.9140625
2018-05-15,105.875,105.921875,105.9296875,105.8515625
2018-05-16,105.8515625,105.8828125,105.8984375,105.8359375
2018-05-17,105.875,105.8515625,105.890625,105.828125
2018-05-18,105.921875,105.8828125,105.9375,105.8671875
2018-05-21,105.890625,105.8984375,105.9140625,105.875
2018-05-22,105.90625,105.890625,105.9140625,105.8671875
2018-05-23,106.015625,105.90625,106.03125,105.8984375
2018-05-24,106.0546875,106.03125,106.1171875,106.015625
2018-05-25,106.1328125,106.0625,106.140625,106.03125
2018-05-29,106.4296875,106.1171875,106.4453125,106.0625
2018-05-30,106.2265625,106.4375,106.5,106.2109375
2018-05-31,106.1953125,106.234375,106.25,106.1796875
2018-06-01,106.109375,106.1953125,106.203125,106.09375
2018-06-04,106.03125,106.1171875,106.1171875,106.03125
2018-06-05,106.09375,106.03125,106.1171875,106.03125
2018-06-06,106.046875,106.0859375,106.09375,106.03125
2018-06-07,106.09375,106.046875,106.171875,106.0234375
2018-06-08,106.09375,106.1171875,106.140625,106.0703125
2018-06-11,106.0546875,106.078125,106.078125,106.046875
2018-06-12,106.03125,106.0546875,106.0625,106.015625
2018-06-13,105.9765625,106.0078125,106.0546875,105.9296875
2018-06-14,105.9765625,105.953125,105.9921875,105.953125
2018-06-15,106.0234375,106.0,106.0390625,106.0
2018-06-18,106.015625,106.015625,106.03125,106.015625
2018-06-19,106.046875,106.03125,106.09375,106.03125
2018-06-20,106.0078125,106.015625,106.0625,106.0078125
2018-06-21,106.0390625,105.9921875,106.0390625,105.9921875
2018-06-22,106.046875,106.03125,106.0625,106.0234375
2018-06-25,106.078125,106.0625,106.078125,106.0625
2018-06-26,106.0625,106.078125,106.0859375,106.0625
2018-06-27,106.125,106.078125,106.125,106.0703125
2018-06-28,106.09375,106.125,106.140625,106.09375
2018-06-29,106.0703125,106.0703125,106.0703125,106.0703125
2018-07-02,105.8671875,105.90625,105.9609375,105.859375
2018-07-03,105.90625,105.859375,105.9140625,105.8515625
2018-07-05,105.8671875,105.90625,105.9140625,105.8359375
2018-07-06,105.8984375,105.8671875,105.921875,105.8515625
2018-07-09,105.859375,105.8984375,105.8984375,105.8359375
2018-07-10,105.8359375,105.8515625,105.859375,105.796875
2018-07-11,105.8203125,105.84375,105.8828125,105.796875
2018-07-12,105.8203125,105.8203125,105.8359375,105.78125
2018-07-13,105.828125,105.8125,105.84375,105.796875
2018-07-16,105.7890625,105.828125,105.8359375,105.765625
2018-07-17,105.765625,105.796875,105.8046875,105.7578125
2018-07-18,105.7734375,105.7578125,105.7890625,105.75
2018-07-19,105.8046875,105.7734375,105.8359375,105.7265625
2018-07-20,105.796875,105.8125,105.828125,105.78125
2018-07-23,105.734375,105.796875,105.828125,105.7265625
2018-07-24,105.734375,105.734375,105.765625,105.7109375
2018-07-25,105.6875,105.7265625,105.75,105.671875
2018-07-26,105.6640625,105.6796875,105.703125,105.65625
2018-07-27,105.6875,105.6640625,105.6875,105.6484375
2018-07-30,105.6953125,105.6796875,105.6953125,105.65625
2018-07-31,105.6796875,105.6953125,105.734375,105.671875
2018-08-01,105.671875,105.671875,105.703125,105.6484375
2018-08-02,105.703125,105.6640625,105.71875,105.6640625
2018-08-03,105.7421875,105.703125,105.75,105.6796875
2018-08-06,105.734375,105.7421875,105.7578125,105.71875
2018-08-07,105.6953125,105.734375,105.7421875,105.6953125
2018-08-08,105.7109375,105.6953125,105.7265625,105.6953125
2018-08-09,105.7421875,105.703125,105.7578125,105.6953125
2018-08-10,105.8359375,105.75,105.8671875,105.7421875
2018-08-13,105.8125,105.8515625,105.8828125,105.796875
2018-08-14,105.765625,105.8125,105.8203125,105.765625
2018-08-15,105.828125,105.7734375,105.875,105.765625
2018-08-16,105.8046875,105.828125,105.8359375,105.78125
2018-08-17,105.8359375,105.8125,105.8515625,105.796875
2018-08-20,105.875,105.828125,105.8828125,105.8125
2018-08-21,105.859375,105.875,105.8828125,105.828125
2018-08-22,105.859375,105.859375,105.8828125,105.8359375
2018-08-23,105.8125,105.859375,105.8671875,105.8046875
2018-08-24,105.8203125,105.8125,105.8203125,105.7734375
2018-08-27,105.7734375,105.8125,105.8203125,105.7734375
2018-08-28,105.7421875,105.7734375,105.7890625,105.734375
2018-08-29,105.71875,105.7421875,105.765625,105.703125
2018-08-30,105.7734375,105.7109375,105.78125,105.7109375
2018-08-31,105.8203125,105.765625,105.828125,105.765625
2018-09-04,105.78125,105.8203125,105.8359375,105.765625
2018-09-05,105.78125,105.78125,105.8046875,105.765625
2018-09-06,105.8125,105.796875,105.828125,105.7734375
2018-09-07,105.6953125,105.8046875,105.8046875,105.6875
2018-09-10,105.6953125,105.7109375,105.7109375,105.6796875
2018-09-11,105.6328125,105.6875,105.6875,105.6328125
2018-09-12,105.625,105.6328125,105.65625,105.625
2018-09-13,105.625,105.6328125,105.640625,105.6171875
2018-09-14,105.578125,105.625,105.640625,105.578125
2018-09-17,105.5859375,105.59375,105.59375,105.5703125
2018-09-18,105.546875,105.59375,105.6015625,105.546875
2018-09-19,105.5234375,105.5390625,105.5625,105.5234375
2018-09-20,105.53125,105.5546875,105.5625,105.5078125
2018-09-21,105.5546875,105.5234375,105.5546875,105.5234375
2018-09-24,105.546875,105.5546875,105.578125,105.5390625
2018-09-25,105.5390625,105.5234375,105.5390625,105.5234375
2018-09-26,105.5625,105.546875,105.5625,105.53125
2018-09-27,105.5546875,105.625,105.625,105.546875
2018-09-28,,,,
2018-10-01,105.359375,105.359375,105.3671875,105.328125
2018-10-02,105.375,105.3515625,105.4140625,105.34375
2018-10-03,105.25,105.3828125,105.3984375,105.25
